URUN_KODU;TARIH;MIKTAR
URUN-6;2017-10-01;142500
URUN-6;2017-11-01;49250
URUN-6;2017-12-01;25750
URUN-6;2018-01-01;23000
URUN-6;2018-02-01;138500
URUN-6;2018-03-01;23875
URUN-6;2018-04-01;107750
URUN-6;2018-05-01;132375
URUN-6;2018-06-01;36000
URUN-6;2018-07-01;47625
URUN-6;2018-08-01;29750
URUN-6;2018-09-01;59625
URUN-6;2018-10-01;37625
URUN-6;2018-11-01;130250
URUN-6;2018-12-01;97625
URUN-7;2015-03-01;130000
URUN-7;2015-04-01;14000
URUN-7;2015-05-01;92000
URUN-7;2015-06-01;4895
URUN-7;2015-07-01;152375
URUN-7;2015-08-01;14500
URUN-7;2015-09-01;15500
URUN-7;2015-10-01;14250
URUN-7;2015-11-01;7000
URUN-7;2015-12-01;47250
URUN-7;2016-01-01;52375
URUN-7;2016-02-01;106500
URUN-7;2016-03-01;46375
URUN-7;2016-04-01;112750
URUN-7;2016-05-01;24125
URUN-7;2016-06-01;29625
URUN-7;2016-07-01;62750
URUN-7;2016-08-01;15750
URUN-7;2016-09-01;7500
URUN-7;2016-10-01;14750
URUN-7;2016-11-01;17500
URUN-7;2016-12-01;64500
URUN-7;2017-01-01;31000
URUN-7;2017-02-01;11250
URUN-7;2017-03-01;15875
URUN-7;2017-04-01;71000
URUN-7;2017-05-01;23125
URUN-7;2017-06-01;24250
URUN-7;2017-07-01;37500
URUN-7;2017-08-01;22000
URUN-7;2017-09-01;375
URUN-7;2017-10-01;40625
URUN-7;2017-11-01;23500
URUN-7;2017-12-01;41625
URUN-7;2018-01-01;17500
URUN-7;2018-02-01;18875
URUN-7;2018-03-01;29125
URUN-7;2018-04-01;23000
URUN-7;2018-05-01;21000
URUN-7;2018-06-01;10250
URUN-7;2018-07-01;19000
URUN-7;2018-08-01;13750
URUN-7;2018-09-01;1500
URUN-7;2018-10-01;15000
URUN-7;2018-11-01;15375
URUN-7;2018-12-01;7875
URUN-8;2015-03-01;6750
URUN-8;2015-04-01;5000
URUN-8;2015-05-01;2000
URUN-8;2015-06-01;5269
URUN-8;2015-07-01;3125
URUN-8;2015-08-01;250
URUN-8;2015-09-01;2000
URUN-8;2015-10-01;1000
URUN-8;2015-11-01;1000
URUN-8;2015-12-01;23000
URUN-8;2016-01-01;6125
URUN-8;2016-02-01;12375
URUN-8;2016-03-01;2625
URUN-8;2016-04-01;5250
URUN-8;2016-05-01;5750
URUN-8;2016-06-01;16500
URUN-8;2016-07-01;18000
URUN-8;2016-08-01;1000
URUN-8;2016-09-01;0
URUN-8;2016-10-01;0
URUN-8;2016-11-01;6000
URUN-8;2016-12-01;15750
URUN-8;2017-01-01;0
URUN-8;2017-02-01;0
URUN-8;2017-03-01;375
URUN-8;2017-04-01;1000
URUN-8;2017-05-01;250
URUN-8;2017-06-01;4500
URUN-8;2017-07-01;0
URUN-8;2017-08-01;0
URUN-8;2017-09-01;0
URUN-8;2017-10-01;0
URUN-8;2017-11-01;18500
URUN-8;2017-12-01;0
URUN-8;2018-01-01;1000
URUN-8;2018-02-01;0
URUN-8;2018-03-01;2500
URUN-8;2018-04-01;0
URUN-8;2018-05-01;1000
URUN-8;2018-06-01;2000
URUN-8;2018-07-01;0
URUN-8;2018-08-01;250
URUN-8;2018-09-01;0
URUN-8;2018-10-01;0
URUN-8;2018-11-01;625
URUN-8;2018-12-01;875
URUN-9;2015-03-01;4560
URUN-9;2015-04-01;15320
URUN-9;2015-05-01;5680
URUN-9;2015-06-01;32290
URUN-9;2015-07-01;15980
URUN-9;2015-08-01;30040
